IpAddress,AssetNumber,MachineName,IsOnline,LastPingTime,CurrentTime,TimeSinceLastPing,CheckThis
192.168.1.168,100001,Mazak 1,False,08/21/2023 20:21:00,09/16/2023 14:05:41,617.7449577360833,True
192.168.1.170,100003,Mazak 3,True,09/16/2023 14:05:43,09/16/2023 14:05:43,0,False
192.168.1.169,100006,Mazak 6,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.150,100007,Mazak 7,False,09/02/2023 12:51:51,09/16/2023 14:05:41,337.23079115108334,True
192.168.1.152,100009,Mazak 9,False,09/15/2023 18:48:53,09/16/2023 14:05:41,19.280235627722224,False
192.168.1.153,100010,Mazak 10,True,09/16/2023 14:05:43,09/16/2023 14:05:43,0,False
192.168.1.154,100011,Mazak 11,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.159,100016,Mazak 16,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.160,100017,Mazak 17,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.161,100018,Mazak 18,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.162,100019,Mazak 19,False,09/15/2023 12:37:46,09/16/2023 14:05:41,25.465517933916665,False
192.168.1.165,100022,Mazak 22,False,09/16/2023 13:49:42,09/16/2023 14:05:41,0.26662570688888887,False
192.168.1.166,100023,Mazak 23,False,09/12/2023 17:23:46,09/16/2023 14:05:41,92.69885288186111,False
192.168.1.167,100024,Mazak 24,False,09/15/2023 18:22:22,09/16/2023 14:05:41,19.722186527416667,False
192.168.1.171,100028,Mazak 28,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.172,100029,Mazak 29,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.173,100030,Mazak 30,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.174,100031,Mazak 31,True,09/16/2023 14:05:41,09/16/2023 14:05:41,0,False
192.168.1.175,100032,Mazak 32,False,09/16/2023 10:29:41,09/16/2023 14:05:41,3.6000132651944443,False
192.168.1.176,100033,Mazak 33,True,09/16/2023 14:05:43,09/16/2023 14:05:43,0,False
192.168.1.179,100036,Mazak 36,True,09/16/2023 14:05:42,09/16/2023 14:05:42,0,False
192.168.1.183,100040,Mazak 40,False,09/16/2023 13:19:42,09/16/2023 14:05:42,0.7666749799444444,False
